,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
116,smithers,54.7804,-127.1743,62.92,82,0,5.75,CA,1658827797
117,biak,-0.9131,122.8766,79.2,81,67,6.71,ID,1658827798
118,mecca,21.4267,39.8261,101.5,28,74,7.31,SA,1658827784
119,hamilton,39.1834,-84.5333,72.88,81,40,0.0,US,1658827766
120,beringovskiy,63.05,179.3167,47.41,89,99,9.17,RU,1658827798
121,bathsheba,13.2167,-59.5167,81.21,93,40,16.11,BB,1658827799
122,airai,-8.9266,125.4092,63.82,64,42,3.83,TL,1658827799
123,avarua,-21.2078,-159.775,69.85,73,75,6.91,CK,1658827799
124,yining,29.0361,114.5636,99.79,42,99,4.81,CN,1658827800
125,gaoua,10.2992,-3.2508,79.34,68,77,8.34,BF,1658827800
126,san remo,43.8182,7.7612,85.05,73,2,6.11,IT,1658827801
127,mattru,7.6244,-11.8332,80.19,68,8,2.39,SL,1658827801
128,berbera,10.4396,45.0143,99.45,32,36,19.19,SO,1658827802
129,thoen,17.6129,99.2161,84.43,76,79,2.04,TH,1658827802
130,beira,-19.8436,34.8389,71.13,60,9,10.45,MZ,1658827541
131,havre-saint-pierre,50.2334,-63.5986,55.76,94,75,5.75,CA,1658827803
132,cherskiy,68.75,161.3,45.36,60,20,13.69,RU,1658827803
133,mahebourg,-20.4081,57.7,75.25,78,75,12.66,MU,1658827804
134,tiksi,71.6872,128.8694,52.97,79,94,1.21,RU,1658827804
135,tynda,55.1667,124.7167,76.32,75,89,2.1,RU,1658827804
136,olafsvik,64.8945,-23.7142,52.38,87,100,9.6,IS,1658827805
137,tura,25.5198,90.2201,82.31,72,97,4.0,IN,1658827805
138,zhanaozen,43.3,52.8,87.94,28,0,14.76,KZ,1658827806
139,faanui,-16.4833,-151.75,78.35,71,87,5.32,PF,1658827806
140,murray bridge,-35.1167,139.2667,53.13,76,39,6.76,AU,1658827806
141,kirsanov,52.6549,42.7224,83.14,44,9,7.76,RU,1658827807
142,mount isa,-20.7333,139.5,67.77,32,0,12.66,AU,1658827807
143,mount pleasant,32.7941,-79.8626,82.99,89,40,5.75,US,1658827536
144,barrow,71.2906,-156.7887,35.62,93,100,32.21,US,1658827808
145,san cristobal,7.7669,-72.225,64.0,92,96,1.95,VE,1658827808
146,zeya,53.75,127.2667,83.23,56,1,1.79,RU,1658827809
147,vysotsk,60.6288,28.5705,72.18,58,87,10.33,RU,1658827809
148,kabalo,-6.05,26.9167,91.76,24,30,12.08,CD,1658827810
149,roebourne,-20.7833,117.1333,72.73,33,1,3.87,AU,1658827810
150,rincon,32.296,-81.2354,82.85,83,0,5.75,US,1658827811
151,palmer,42.1584,-72.3287,64.24,76,75,0.0,US,1658827811
152,sao filipe,14.8961,-24.4956,77.79,86,92,1.54,CV,1658827812
153,vila velha,-20.3297,-40.2925,64.94,95,40,2.3,BR,1658827786
154,ternate,0.8,127.4,81.21,79,98,4.5,ID,1658827812
155,bulgan,48.8125,103.5347,53.98,92,100,4.21,MN,1658827813
156,nome,64.5011,-165.4064,44.67,82,100,18.41,US,1658827813
157,north bend,43.4065,-124.2243,59.92,99,100,5.75,US,1658827814
158,isangel,-19.55,169.2667,69.91,94,100,1.14,VU,1658827814
159,geraldton,-28.7667,114.6,64.81,52,15,5.75,AU,1658827814
160,whitehorse,60.7161,-135.0538,61.57,67,75,19.57,CA,1658827815
161,brewster,41.3973,-73.6171,68.14,87,0,3.13,US,1658827815
162,egvekinot,66.3167,-179.1667,39.74,69,48,5.55,RU,1658827816
163,marzuq,14.4,46.4667,94.44,26,82,8.55,YE,1658827816
164,paita,-5.0892,-81.1144,62.96,90,47,10.63,PE,1658827816
165,gizo,-8.103,156.8419,82.15,76,90,7.96,SB,1658827817
166,neiafu,-18.65,-173.9833,76.37,65,72,16.91,TO,1658827860
167,qobustan,40.0824,49.412,83.19,48,0,13.0,AZ,1658827861
168,erzin,36.9559,36.2,93.13,29,0,7.56,TR,1658827861
169,carutapera,-1.195,-46.02,76.46,92,93,5.12,BR,1658827862
170,port macquarie,-31.4333,152.9167,59.9,57,11,15.14,AU,1658827862
171,vostok,46.4856,135.8833,67.64,87,64,1.12,RU,1658827862
172,clyde river,70.4692,-68.5914,37.63,100,100,8.05,CA,1658827863
173,san quintin,30.4833,-115.95,66.11,89,21,7.94,MX,1658827863
174,kodiak,57.79,-152.4072,47.71,71,0,5.75,US,1658827864
175,castro,-24.7911,-50.0119,52.68,80,0,2.17,BR,1658827864
176,rantepao,-2.9701,119.8978,69.76,98,99,1.97,ID,1658827865
177,tarbes,43.25,0.1667,66.31,94,100,3.44,FR,1658827865
178,maroantsetra,-15.4333,49.7333,72.27,75,60,7.02,MG,1658827866
179,souillac,-20.5167,57.5167,73.78,78,75,12.66,MU,1658827867
180,vao,-22.6667,167.4833,68.25,64,1,11.74,NC,1658827867
181,kieta,-6.2167,155.6333,78.53,85,95,2.46,PG,1658827868
182,trincomalee,8.5711,81.2335,82.96,76,91,12.1,LK,1658827868
183,ketchikan,55.3422,-131.6461,63.07,82,0,10.36,US,1658827746
184,vestmanna,62.1564,-7.1664,49.12,81,75,10.36,FO,1658827868
185,ilulissat,69.2167,-51.1,44.62,93,75,2.3,GL,1658827869
186,terrace bay,48.7834,-87.1,47.12,86,20,3.69,CA,1658827869
187,neuquen,-38.9516,-68.0591,42.69,93,100,0.0,AR,1658827870
188,buin,-33.7333,-70.75,49.73,89,85,0.6,CL,1658827870
189,riverton,40.5219,-111.9391,79.84,43,0,8.01,US,1658827801
190,ilebo,-4.3167,20.5833,92.93,29,88,2.51,CD,1658827871
191,te anau,-45.4167,167.7167,41.32,98,100,3.89,NZ,1658827871
192,saskylakh,71.9167,114.0833,80.65,35,53,5.64,RU,1658827872
193,manokwari,-0.8667,134.0833,80.78,77,99,9.04,ID,1658827872
194,mumbwa,-14.9783,27.0619,74.71,22,0,11.23,ZM,1658827873
195,praya,14.9215,-23.5087,81.14,65,20,5.75,CV,1658827873
196,college,64.8569,-147.8028,55.38,78,75,10.36,US,1658827873
197,umm kaddadah,13.6017,26.6876,93.22,33,99,14.61,SD,1658827874
198,cidreira,-30.1811,-50.2056,60.42,96,16,10.47,BR,1658827874
199,xapuri,-10.6517,-68.5044,70.99,85,5,0.29,BR,1658827875
200,beloha,-25.1667,45.05,77.0,39,5,8.95,MG,1658827875
201,banda aceh,5.5577,95.3222,81.32,82,89,9.8,ID,1658827875
202,vallenar,-28.5708,-70.7581,52.02,76,0,0.51,CL,1658827876
203,mandera,3.9366,41.867,91.51,25,6,21.77,KE,1658827876
204,kasangulu,-4.5911,15.1708,74.34,41,29,7.31,CD,1658827877
205,guerrero negro,27.9769,-114.0611,67.62,85,85,3.09,MX,1658827877
206,bilma,18.6853,12.9164,99.34,12,79,6.35,NE,1658827878
207,mahenge,-8.6833,36.7167,73.83,48,97,4.07,TZ,1658827878
208,vila,42.0304,-8.1588,68.7,54,1,3.62,PT,1658827879
209,axim,4.8699,-2.2405,78.57,74,96,6.98,GH,1658827879
210,nanortalik,60.1432,-45.2371,43.2,93,100,3.58,GL,1658827879
211,alice springs,-23.7,133.8833,56.75,38,0,8.05,AU,1658827588
212,high prairie,55.4334,-116.4858,52.74,88,37,3.83,CA,1658827880
213,port hedland,-20.3167,118.5667,80.65,29,1,6.91,AU,1658827595
214,bayan,46.0833,127.4,81.36,76,82,4.59,CN,1658827880
215,russell,32.3502,-85.1999,74.8,94,0,3.44,US,1658827881
216,vermillion,42.7794,-96.9292,68.16,74,98,8.9,US,1658827881
217,mount gambier,-37.8333,140.7667,49.91,93,100,10.36,AU,1658827737
218,fortuna,40.5982,-124.1573,55.92,89,32,1.79,US,1658827882
219,piopio,-38.4667,175.0167,55.09,98,100,8.59,NZ,1658827882
220,ola,59.5833,151.2833,70.14,93,22,6.08,RU,1658827882
221,dukat,62.55,155.55,57.87,47,96,4.5,RU,1658827883
222,acapulco,16.8634,-99.8901,80.42,83,75,2.3,MX,1658827871
223,terney,45.0503,136.6092,70.12,93,64,2.1,RU,1658827883
224,kalmunai,7.4167,81.8167,85.8,66,94,11.68,LK,1658827925
225,talakan,50.3167,130.3667,79.11,74,24,2.89,RU,1658827925
226,villarrica,-25.75,-56.4333,64.51,72,0,4.65,PY,1658827926
227,rafaela,-31.2503,-61.4867,63.99,70,76,1.01,AR,1658827926
228,mar del plata,-38.0023,-57.5575,55.09,98,100,4.0,AR,1658827926
229,tautira,-17.7333,-149.15,75.81,79,97,11.99,PF,1658827927
230,sisimiut,66.9395,-53.6735,41.29,94,100,8.57,GL,1658827927
231,vardo,70.3705,31.1107,58.98,94,75,13.8,NO,1658827928
232,haines junction,60.7522,-137.5108,58.95,72,80,6.91,CA,1658827928
233,vilyuysk,63.7553,121.6247,82.6,51,0,7.05,RU,1658827928
234,belmonte,-15.8631,-38.8828,70.54,79,30,7.4,BR,1658827929
235,kondagaon,19.6,81.6667,82.54,72,100,3.38,IN,1658827929
236,hami,42.8,93.45,99.32,6,1,24.02,CN,1658827930
237,westport,41.1415,-73.3579,72.95,85,100,0.0,US,1658827805
238,tasiilaq,65.6145,-37.6368,41.16,91,100,4.83,GL,1658827930
239,riyadh,24.6877,46.7219,104.14,9,94,9.64,SA,1658827913
240,amboasary,-25.0333,46.3833,72.55,64,84,6.17,MG,1658827931
241,gomel,52.4345,30.9754,75.15,55,24,4.74,BY,1658827931
242,sorland,67.667,12.6934,53.46,93,100,26.73,NO,1658827932
243,port-gentil,-0.7193,8.7815,76.96,78,75,12.66,GA,1658827932
244,kruisfontein,-34.0033,24.7314,67.89,28,0,8.97,ZA,1658827933
245,lincoln,40.8,-96.667,67.91,86,100,5.75,US,1658827809
246,lasa,46.6166,10.7002,77.68,62,9,1.12,IT,1658827933
247,dinan,48.4167,-2.25,66.74,53,100,8.32,FR,1658827934
248,zhanakorgan,43.9098,67.2495,105.24,12,90,8.88,KZ,1658827934
249,longyearbyen,78.2186,15.6401,51.64,71,75,12.66,SJ,1658827935
250,huilong,31.8111,121.655,78.93,85,55,13.56,CN,1658827935
251,kiunga,-6.1219,141.2906,73.47,99,94,2.82,PG,1658827935
252,leiyang,26.4024,112.8591,97.99,41,21,6.55,CN,1658827936
253,labuhan,-6.8844,112.2051,81.66,63,100,7.23,ID,1658827936
254,uromi,6.7,6.3333,76.33,83,99,5.23,NG,1658827937
255,kenai,60.5544,-151.2583,53.1,72,0,28.77,US,1658827937
256,mehamn,71.0357,27.8492,62.55,77,75,6.91,NO,1658827937
257,bollnas,61.3482,16.3946,67.19,60,100,8.81,SE,1658827938
258,miracema do tocantins,-9.5618,-48.3967,69.84,52,92,3.69,BR,1658827938
259,naze,28.3667,129.4833,83.32,74,35,6.49,JP,1658827939
260,faya,18.3851,42.4509,79.32,34,100,3.18,SA,1658827939
261,walvis bay,-22.9575,14.5053,55.09,87,100,2.3,NA,1658827940
262,itoman,26.1247,127.6694,81.37,92,75,6.91,JP,1658827940
263,nikolskoye,59.7035,30.7861,77.88,37,100,5.37,RU,1658827940
264,mawlaik,23.6333,94.4167,87.62,72,98,2.77,MM,1658827941
265,bell ville,-32.6259,-62.6887,58.66,91,100,4.07,AR,1658827941
266,sagua la grande,22.8067,-80.0756,76.19,92,69,7.49,CU,1658827942
267,castellammare del golfo,38.0188,12.8858,92.34,41,0,8.12,IT,1658827942
268,corrales,35.2378,-106.6067,74.68,60,0,10.36,US,1658827943
269,otane,-39.8833,176.6333,56.01,86,69,7.05,NZ,1658827943
270,kamiiso,41.8167,140.65,73.78,88,40,8.05,JP,1658827943
271,husavik,66.0449,-17.3389,50.14,88,100,0.74,IS,1658827944
272,qandala,11.472,49.8728,95.29,39,81,2.73,SO,1658827944
273,krasnyy kut,50.95,46.9667,83.23,42,43,12.1,RU,1658827945
274,hambantota,6.1241,81.1185,86.34,84,20,4.61,LK,1658827945
275,east london,-33.0153,27.9116,67.14,42,0,6.91,ZA,1658827946
276,villarrobledo,39.2699,-2.6012,88.77,14,0,5.23,ES,1658827989
277,caravelas,-17.7125,-39.2481,69.31,86,14,2.98,BR,1658827989
278,nizhniye vyazovyye,55.7988,48.5248,80.6,59,61,7.49,RU,1658827990
279,tabuk,17.4189,121.4443,81.3,84,100,3.29,PH,1658827990
280,maceio,-9.6658,-35.7353,71.04,88,100,4.61,BR,1658827991
281,arman,59.7,150.1667,70.02,87,15,4.54,RU,1658827991
282,corn island,12.1694,-83.0418,78.4,84,100,9.73,NI,1658827992
283,maple creek,49.9168,-109.4848,61.21,88,40,3.44,CA,1658827844
284,pomabamba,-8.8333,-77.4667,45.19,89,85,1.41,PE,1658827993
285,puerto del rosario,28.5004,-13.8627,83.95,54,0,20.71,ES,1658827993
286,aklavik,68.2191,-135.0107,62.49,57,99,10.65,CA,1658827993
287,leningradskiy,69.3833,178.4167,32.81,97,100,12.46,RU,1658827994
288,kavaratti,10.5669,72.642,81.66,76,71,16.89,IN,1658827994
289,cabo san lucas,22.8909,-109.9124,80.62,71,11,7.0,MX,1658827995
290,bethel,41.3712,-73.414,70.16,76,0,4.05,US,1658827995
291,hope,33.6671,-93.5916,84.25,75,93,6.76,US,1658827995
292,nisko,50.5199,22.1397,82.92,49,100,3.0,PL,1658827996
293,gat,31.61,34.7642,93.78,27,0,11.36,IL,1658827996
294,vestmannaeyjar,63.4427,-20.2734,52.79,87,40,4.61,IS,1658827997
295,lodja,-3.4833,23.4333,96.24,21,72,5.79,CD,1658827997
296,preobrazheniye,42.9019,133.9064,69.98,93,40,7.38,RU,1658827997
297,bandarbeyla,9.4942,50.8122,90.79,41,86,26.93,SO,1658827998
298,qaqortoq,60.7167,-46.0333,43.29,94,99,2.04,GL,1658827998
299,inirida,3.8653,-67.9239,71.31,99,98,2.1,CO,1658827999
300,shache,38.4167,77.2406,104.34,10,4,3.8,CN,1658827999
